Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,TrackStatus
0 days 01:28:28.737000,GAS,0 days 00:01:17.515000,20,2,,,MEDIUM,10,1
0 days 01:29:46.167000,GAS,0 days 00:01:17.430000,21,2,,,MEDIUM,11,1
0 days 01:31:03.744000,GAS,0 days 00:01:17.577000,22,2,,,MEDIUM,12,1
0 days 01:32:21.838000,GAS,0 days 00:01:18.094000,23,2,,,MEDIUM,13,1
0 days 01:33:40.006000,GAS,0 days 00:01:18.168000,24,2,,,MEDIUM,14,1
0 days 01:34:57.822000,GAS,0 days 00:01:17.816000,25,2,,,MEDIUM,15,1
0 days 01:36:15.541000,GAS,0 days 00:01:17.719000,26,2,,,MEDIUM,16,1
0 days 01:37:33.257000,GAS,0 days 00:01:17.716000,27,2,,,MEDIUM,17,1
0 days 01:38:50.913000,GAS,0 days 00:01:17.656000,28,2,,,MEDIUM,18,1
0 days 01:40:08.794000,GAS,0 days 00:01:17.881000,29,2,,,MEDIUM,19,1
0 days 01:41:26.522000,GAS,0 days 00:01:17.728000,30,2,,,MEDIUM,20,1
0 days 01:42:44.420000,GAS,0 days 00:01:17.898000,31,2,,,MEDIUM,21,1
0 days 01:44:05.372000,GAS,0 days 00:01:20.952000,32,2,,0 days 01:44:03.875000,MEDIUM,22,1
0 days 01:45:41.172000,GAS,0 days 00:01:35.800000,33,3,0 days 01:44:22.570000,,HARD,2,1
0 days 01:46:57.737000,GAS,0 days 00:01:16.565000,34,3,,,HARD,3,1
0 days 01:48:14.267000,GAS,0 days 00:01:16.530000,35,3,,,HARD,4,1
0 days 01:49:30.876000,GAS,0 days 00:01:16.609000,36,3,,,HARD,5,1
0 days 01:50:47.378000,GAS,0 days 00:01:16.502000,37,3,,,HARD,6,1
0 days 01:52:03.823000,GAS,0 days 00:01:16.445000,38,3,,,HARD,7,1
0 days 01:53:20.150000,GAS,0 days 00:01:16.327000,39,3,,,HARD,8,1
0 days 01:54:36.548000,GAS,0 days 00:01:16.398000,40,3,,,HARD,9,1
0 days 01:55:52.910000,GAS,0 days 00:01:16.362000,41,3,,,HARD,10,1
0 days 01:57:09.171000,GAS,0 days 00:01:16.261000,42,3,,,HARD,11,1
0 days 01:58:25.293000,GAS,0 days 00:01:16.122000,43,3,,,HARD,12,2
0 days 01:59:42.154000,GAS,0 days 00:01:16.861000,44,3,,,HARD,13,2
0 days 02:00:58.615000,GAS,0 days 00:01:16.461000,45,3,,,HARD,14,1
0 days 02:02:14.725000,GAS,0 days 00:01:16.110000,46,3,,,HARD,15,2
0 days 02:03:53.261000,GAS,0 days 00:01:38.536000,47,3,,,HARD,16,26
0 days 02:05:36.939000,GAS,0 days 00:01:43.678000,48,3,,,HARD,17,6
0 days 02:07:04.781000,GAS,0 days 00:01:27.842000,49,3,,,HARD,18,67
0 days 02:08:21.283000,GAS,0 days 00:01:16.502000,50,3,,,HARD,19,1
0 days 02:09:37.495000,GAS,0 days 00:01:16.212000,51,3,,,HARD,20,1
0 days 02:10:54.109000,GAS,0 days 00:01:16.614000,52,3,,,HARD,21,1
0 days 02:12:11.659000,GAS,0 days 00:01:17.550000,53,3,,,HARD,22,1
0 days 02:13:27.996000,GAS,0 days 00:01:16.337000,54,3,,,HARD,23,2
0 days 02:14:53.595000,GAS,0 days 00:01:25.599000,55,3,,,HARD,24,24
0 days 02:16:38.871000,GAS,0 days 00:01:45.276000,56,3,,0 days 02:16:37.230000,HARD,25,4
0 days 02:18:22.180000,GAS,0 days 00:01:43.309000,57,4,0 days 02:16:55.887000,0 days 02:18:20.696000,SOFT,1,4
0 days 02:20:05.343000,GAS,0 days 00:01:43.163000,58,5,0 days 02:18:34.600000,,SOFT,2,4
0 days 02:22:04.770000,GAS,0 days 00:01:59.427000,59,5,,,SOFT,3,4
0 days 02:23:55.459000,GAS,0 days 00:01:50.689000,60,5,,,SOFT,4,4
0 days 02:25:12.130000,GAS,0 days 00:01:16.671000,61,5,,,SOFT,5,1
0 days 02:26:28.336000,GAS,0 days 00:01:16.206000,62,5,,,SOFT,6,1
0 days 02:27:43.506000,GAS,0 days 00:01:15.170000,63,5,,,SOFT,7,1
0 days 02:28:58.830000,GAS,0 days 00:01:15.324000,64,5,,,SOFT,8,1
0 days 02:30:13.995000,GAS,0 days 00:01:15.165000,65,5,,,SOFT,9,1
0 days 02:31:29.166000,GAS,0 days 00:01:15.171000,66,5,,,SOFT,10,1
0 days 02:32:44.714000,GAS,0 days 00:01:15.548000,67,5,,,SOFT,11,1
0 days 02:34:00.830000,GAS,0 days 00:01:16.116000,68,5,,,SOFT,12,1
0 days 02:35:16.796000,GAS,0 days 00:01:15.966000,69,5,,,SOFT,13,1
0 days 02:36:33.066000,GAS,0 days 00:01:16.270000,70,5,,,SOFT,14,1
0 days 02:37:50.013000,GAS,0 days 00:01:16.947000,71,5,,,SOFT,15,1
0 days 02:39:06.714000,GAS,0 days 00:01:16.701000,72,5,,,SOFT,16,1
0 days 01:03:20.661000,PER,0 days 00:01:23.729000,1,1,0 days 00:23:54.703000,,SOFT,6,1
0 days 01:04:37.706000,PER,0 days 00:01:17.045000,2,1,,,SOFT,7,2
0 days 01:05:54.833000,PER,0 days 00:01:17.127000,3,1,,,SOFT,8,1
0 days 01:07:11.734000,PER,0 days 00:01:16.901000,4,1,,,SOFT,9,2
0 days 01:08:28.607000,PER,0 days 00:01:16.873000,5,1,,,SOFT,10,1
0 days 01:09:45.403000,PER,0 days 00:01:16.796000,6,1,,,SOFT,11,1
0 days 01:11:02.431000,PER,0 days 00:01:17.028000,7,1,,,SOFT,12,1
0 days 01:12:19.299000,PER,0 days 00:01:16.868000,8,1,,,SOFT,13,1
0 days 01:13:36.446000,PER,0 days 00:01:17.147000,9,1,,,SOFT,14,1
0 days 01:14:53.898000,PER,0 days 00:01:17.452000,10,1,,,SOFT,15,1
0 days 01:16:11.461000,PER,0 days 00:01:17.563000,11,1,,,SOFT,16,1
0 days 01:17:28.982000,PER,0 days 00:01:17.521000,12,1,,,SOFT,17,1
0 days 01:18:46.481000,PER,0 days 00:01:17.499000,13,1,,,SOFT,18,1
0 days 01:20:06.762000,PER,0 days 00:01:20.281000,14,1,,0 days 01:20:05.082000,SOFT,19,1
0 days 01:21:41.403000,PER,0 days 00:01:34.641000,15,2,0 days 01:20:23.994000,,MEDIUM,1,1
0 days 01:22:57.822000,PER,0 days 00:01:16.419000,16,2,,,MEDIUM,2,1
0 days 01:24:14.319000,PER,0 days 00:01:16.497000,17,2,,,MEDIUM,3,1
0 days 01:25:30.736000,PER,0 days 00:01:16.417000,18,2,,,MEDIUM,4,1
0 days 01:26:46.874000,PER,0 days 00:01:16.138000,19,2,,,MEDIUM,5,1
0 days 01:28:03.094000,PER,0 days 00:01:16.220000,20,2,,,MEDIUM,6,1
0 days 01:29:19.120000,PER,0 days 00:01:16.026000,21,2,,,MEDIUM,7,1
0 days 01:30:35.525000,PER,0 days 00:01:16.405000,22,2,,,MEDIUM,8,1
0 days 01:31:51.765000,PER,0 days 00:01:16.240000,23,2,,,MEDIUM,9,1
0 days 01:33:08.334000,PER,0 days 00:01:16.569000,24,2,,,MEDIUM,10,1
0 days 01:34:24.700000,PER,0 days 00:01:16.366000,25,2,,,MEDIUM,11,1
0 days 01:35:40.892000,PER,0 days 00:01:16.192000,26,2,,,MEDIUM,12,1
0 days 01:36:57.191000,PER,0 days 00:01:16.299000,27,2,,,MEDIUM,13,1
0 days 01:38:13.442000,PER,0 days 00:01:16.251000,28,2,,,MEDIUM,14,1
0 days 01:39:29.836000,PER,0 days 00:01:16.394000,29,2,,,MEDIUM,15,1
0 days 01:40:46.421000,PER,0 days 00:01:16.585000,30,2,,,MEDIUM,16,1
0 days 01:42:03.226000,PER,0 days 00:01:16.805000,31,2,,,MEDIUM,17,1
0 days 01:43:20.147000,PER,0 days 00:01:16.921000,32,2,,,MEDIUM,18,1
0 days 01:44:36.798000,PER,0 days 00:01:16.651000,33,2,,,MEDIUM,19,1
0 days 01:45:53.467000,PER,0 days 00:01:16.669000,34,2,,,MEDIUM,20,1
0 days 01:47:10.338000,PER,0 days 00:01:16.871000,35,2,,,MEDIUM,21,1
0 days 01:48:27.951000,PER,0 days 00:01:17.613000,36,2,,,MEDIUM,22,1
0 days 01:49:47.758000,PER,0 days 00:01:19.807000,37,2,,,MEDIUM,23,1
0 days 01:51:04.620000,PER,0 days 00:01:16.862000,38,2,,,MEDIUM,24,1
0 days 01:52:22.338000,PER,0 days 00:01:17.718000,39,2,,,MEDIUM,25,1
0 days 01:53:41.779000,PER,0 days 00:01:19.441000,40,2,,0 days 01:53:40.366000,MEDIUM,26,1
0 days 01:55:15.867000,PER,0 days 00:01:34.088000,41,3,0 days 01:53:58.908000,,HARD,1,1
0 days 01:56:30.797000,PER,0 days 00:01:14.930000,42,3,,,HARD,2,1
0 days 01:57:47.383000,PER,0 days 00:01:16.586000,43,3,,,HARD,3,1
0 days 01:59:03.112000,PER,0 days 00:01:15.729000,44,3,,,HARD,4,2
0 days 02:00:18.223000,PER,0 days 00:01:15.111000,45,3,,,HARD,5,1
0 days 02:01:33.319000,PER,0 days 00:01:15.096000,46,3,,,HARD,6,1
0 days 02:03:02.117000,PER,0 days 00:01:28.798000,47,3,,,HARD,7,26
0 days 02:04:42.833000,PER,0 days 00:01:40.716000,48,3,,,HARD,8,6
0 days 02:06:22.483000,PER,0 days 00:01:39.650000,49,3,,,HARD,9,67
