start_time,name,distance,moving_time,elevation,average_watts,max_speed
14/10/2021 18:50,AHDR Bacon Rolls (C),40.5,1.00,184,202,61.2
16/10/2021 19:31,Morning Ride,51.8,1.81,761,176,66.2
19/10/2021 19:30,Morning Ride,30.5,0.92,136,192,52.8
21/10/2021 19:12,AHDR Bacon Rolls (C),2,0.05,0,240,49.6
21/10/2021 19:17,AHDR Bacon Rolls (C),22.1,0.59,210,222,64.6
23/10/2021 19:32,Morning Ride,79.1,2.30,189,211,52.3
26/10/2021 19:31,Morning Ride,30.5,1.02,130,165,47.3
28/10/2021 21:30,Zwift Academy Tri: Bike Workout 2 | Strength Endurance/Threshold Combo,24.5,1.01,133,186,44.5
30/10/2021 19:37,Morning Ride,64.1,2.10,530.4,172,61.5
2/11/2021 19:30,Dohles,30.6,1.01,136,166,45.6
4/11/2021 19:22,Morning Ride,32.6,0.96,124,207,55.9
6/11/2021 19:36,Morning Ride,60.8,1.73,226,230,55.2
8/11/2021 19:16,Morning Ride,30.7,1.13,352,149,67.6
9/11/2021 19:30,Morning Ride,30.5,1.07,78,146,50.5
13/11/2021 19:35,Morning Ride,64.4,2.24,722,179,73.4
15/11/2021 19:15,Morning Ride,31.6,1.22,402.1,153,70
15/11/2021 21:26,Morning Ride,15.7,0.59,124.5,137,51.3
16/11/2021 6:35,Afternoon Ride,7.7,0.33,79.1,128,56.9
16/11/2021 19:31,Morning Ride,30.3,0.99,167,171,46.8
18/11/2021 19:25,Morning Ride,32.8,0.90,123,252,54.7
18/11/2021 21:26,Morning Ride,15.5,0.59,118,126,48.5
19/11/2021 5:26,Afternoon Ride,15.4,0.63,145,128,51.4
20/11/2021 19:34,Morning Ride,80.4,2.55,343,187,64.3
24/11/2021 10:47,EVO CC Sprint Race Series  (C) 4th,24.4,0.62,155,246,67.3
25/11/2021 20:17,OH MY CRIT!! - The Double Race 2/2 (C) 5th,26.1,0.65,98,241,54.5
27/11/2021 19:33,Morning Ride,64,1.92,401,213,63.4
29/11/2021 19:30,ZZRC Happy Hour (C),37.3,1.01,312,201,84.1
30/11/2021 20:00,Telstra Connected Cycling Group Ride (C),28.5,0.76,133,194,53.8
2/12/2021 19:22,Morning Ride,32.9,0.94,112,223,54.1
4/12/2021 19:28,Morning Ride,62.7,2.15,358,150,58.5
14/12/2021 19:26,Morning Ride,30.3,1.09,171.6,135,51.4
16/12/2021 19:22,Morning Ride,32.8,0.96,117,217,56.4
18/12/2021 19:36,Morning Ride,78.4,2.46,182,179,57.1
20/12/2021 19:16,Morning Ride,29.8,1.17,351,134,63
21/12/2021 19:30,Morning Ride,30.4,0.98,136,176,52.8
23/12/2021 19:17,Morning Ride,100.7,2.72,5,241,47.9
25/12/2021 23:05,Zwift watching the Ashes,100.1,2.39,493,207,57
26/12/2021 22:30,Zwift - Dutch Diesel Cycling Starter Ride (C),60.3,1.52,89,177,46.1
27/12/2021 1:30,Zwift - OTR Tempo Group Ride,30.1,0.88,341,203,66.1
27/12/2021 19:00,Zwift - Rapha Festive 500 Group Ride Led By Ethan Chiang,60.1,1.61,323,185,77
28/12/2021 19:00,Morning Ride,86.9,2.96,472,158,58.3
30/12/2021 19:30,Hacks NYE,63.1,2.17,456,157,69.7
